Case;VehCat;Year;TrafficScenario;Component;RoadCat;TrafficSit;Gradient;V_weighted;EFA_weighted;AmbientCondPattern;EFA_WTT_weighted;EFA_WTW_weighted
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;HC;MW;RUR/MW/>130/Freeflow;0%;142.7671356;0.025177279;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;HC;MW;RUR/MW/>130/St+Go;0%;17.91503143;0.020191479;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;HC;MW;URB/MW-Nat./80/Freeflow;0%;79.03366089;0.008116825;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;HC;MW;URB/MW-Nat./80/St+Go;0%;15.47382641;0.022408267;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/MW-City/60/Freeflow;0%;62.73362732;0.007220936;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/MW-City/60/St+Go;0%;13.26994896;0.024858857;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/MW-City/70/Freeflow;0%;69.43365479;0.00750259;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/MW-City/70/St+Go;0%;14.39977264;0.02317334;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/Trunk-City/50/Freeflow;0%;49.35812759;0.009990068;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/Trunk-City/50/St+Go;0%;12.48863125;0.022639086;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/Trunk-City/60/Freeflow;0%;57.2092247;0.011506032;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/Trunk-City/60/St+Go;0%;12.48863316;0.022639077;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/Distr/50/Freeflow;0%;42.95035934;0.011240884;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/Distr/50/St+Go;0%;12.48866653;0.022638824;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/Distr/60/Freeflow;0%;52.00070953;0.010745386;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/Distr/60/St+Go;0%;12.48833656;0.022641018;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/Local/50/Freeflow;0%;41.66275787;0.010469965;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/Local/50/St+Go;0%;12.48863316;0.022639077;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/Local/60/Freeflow;0%;51.16705322;0.010789411;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/Local/60/St+Go;0%;12.48848057;0.022638973;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/Access/30/Freeflow;0%;28.912714;0.012028748;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/Access/30/St+Go;0%;9.621914864;0.025381573;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/Access/40/Freeflow;0%;35.62506104;0.011265839;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/Access/40/St+Go;0%;11.82717037;0.022463679;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;CO;MW;RUR/MW/>130/Freeflow;0%;142.7671356;3.569770098;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;CO;MW;RUR/MW/>130/St+Go;0%;17.91503143;0.402947664;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;CO;MW;URB/MW-Nat./80/Freeflow;0%;79.03366089;0.182541102;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;CO;MW;URB/MW-Nat./80/St+Go;0%;15.47382641;0.60855186;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;CO;Urban;URB/MW-City/60/Freeflow;0%;62.73362732;0.140301973;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;CO;Urban;URB/MW-City/60/St+Go;0%;13.26994896;0.514623106;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;CO;Urban;URB/MW-City/70/Freeflow;0%;69.43365479;0.152026534;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;CO;Urban;URB/MW-City/70/St+Go;0%;14.39977264;0.449759513;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;CO;Urban;URB/Trunk-City/50/Freeflow;0%;49.35812759;0.190928459;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;CO;Urban;URB/Trunk-City/50/St+Go;0%;12.48863125;0.33820346;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;CO;Urban;URB/Trunk-City/60/Freeflow;0%;57.2092247;0.571659505;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;CO;Urban;URB/Trunk-City/60/St+Go;0%;12.48863316;0.3382034;ØGermany;;
2020_Average_perVehCat_Bln_carOnly[4.1];pass. car;2020;REF D HB41;CO;Urban;URB/Distr/50/Freeflow;0%;42.95035934;0.216030806;ØGermany;;
